time,open,high,low,close,tick_volume,spread,real_volume
2018-03-02,1317.002,1325.392,1315.179,1322.358,94228,150,0
2018-03-04,1323.682,1324.22,1319.715,1323.064,3078,180,0
2018-03-05,1323.075,1327.742,1317.504,1320.915,101364,150,0
2018-03-06,1320.904,1340.406,1320.48,1339.06,103608,150,0
2018-03-07,1339.045,1340.349,1322.043,1324.498,104499,150,0
2018-03-08,1324.486,1328.971,1319.01,1320.904,96090,150,0
2018-03-09,1320.926,1325.084,1312.78,1323.245,86259,150,0
2018-03-11,1322.7,1323.363,1322.49,1323.083,804,180,0
2018-03-12,1323.123,1325.644,1315.071,1325.0,75918,150,0
2018-03-13,1324.95,1328.22,1313.751,1326.338,88498,150,0
2018-03-14,1326.262,1329.987,1321.495,1325.201,80814,150,0
2018-03-15,1325.202,1327.898,1314.924,1315.818,72101,150,0
2018-03-16,1315.814,1321.667,1309.655,1313.712,67268,150,0
2018-03-18,1313.13,1313.747,1312.77,1313.147,1205,163,0
2018-03-19,1313.157,1319.566,1307.776,1317.024,74208,150,0
2018-03-20,1317.033,1317.375,1307.165,1310.014,70137,150,0
2018-03-21,1309.987,1336.555,1309.812,1332.021,81166,150,0
2018-03-22,1332.021,1334.824,1324.755,1332.686,88125,150,0
2018-03-23,1332.665,1350.166,1331.726,1346.981,85546,150,0
2018-03-25,1350.1,1350.298,1348.188,1348.232,2520,178,0
2018-03-26,1348.289,1355.871,1343.444,1352.894,78128,150,0
2018-03-27,1352.849,1356.789,1339.845,1345.432,82168,150,0
2018-03-28,1345.431,1346.98,1323.475,1326.499,94305,150,0
2018-03-29,1326.49,1328.3,1321.22,1325.183,74266,150,0
2018-03-30,1325.1,1325.1,1325.1,1325.1,1,400,0
2018-04-01,1326.21,1327.482,1326.061,1326.61,2153,178,0
2018-04-02,1326.612,1344.774,1325.768,1341.545,74551,150,0
2018-04-03,1341.538,1342.438,1328.898,1333.149,82653,150,0
2018-04-04,1333.151,1348.148,1331.47,1333.42,86378,150,0
2018-04-05,1333.437,1333.778,1322.693,1330.9,80531,150,0
2018-04-06,1330.894,1335.331,1319.548,1333.108,84779,150,0
2018-04-08,1333.65,1334.057,1331.754,1332.479,2628,187,0
2018-04-09,1332.487,1337.914,1326.836,1336.446,81309,150,0
2018-04-10,1336.451,1342.539,1331.01,1341.741,83230,150,0
2018-04-11,1341.742,1365.089,1339.756,1352.897,88687,150,0
2018-04-12,1352.87,1353.133,1333.776,1337.782,86207,150,0
2018-04-13,1337.741,1347.094,1333.022,1345.245,76397,150,0
2018-04-15,1342.258,1345.655,1342.106,1343.811,3054,180,0
2018-04-16,1343.839,1350.447,1341.167,1348.056,77428,150,0
2018-04-17,1348.046,1349.332,1337.648,1346.234,75168,150,0
2018-04-18,1346.232,1355.631,1342.247,1350.559,78654,150,0
2018-04-19,1350.604,1354.661,1340.923,1344.409,82436,150,0
2018-04-20,1344.405,1345.681,1334.954,1335.145,70657,150,0
2018-04-22,1332.97,1334.586,1332.484,1332.891,2247,179,0
2018-04-23,1332.891,1335.374,1322.102,1324.506,76392,150,0
2018-04-24,1324.537,1332.586,1321.946,1331.625,74809,150,0
2018-04-25,1331.624,1331.641,1318.784,1322.635,72129,150,0
2018-04-26,1322.634,1326.506,1315.229,1317.947,71478,150,0
2018-04-27,1317.951,1325.174,1315.323,1323.296,66375,150,0
2018-04-29,1322.9,1323.751,1322.741,1323.321,1058,180,0
2018-04-30,1323.297,1324.868,1310.252,1315.127,66510,150,0
2018-05-01,1315.09,1315.229,1301.765,1305.515,66745,150,0
2018-05-02,1305.516,1313.354,1303.887,1305.838,79455,150,0
2018-05-03,1305.836,1318.012,1305.442,1312.777,76367,150,0
2018-05-04,1312.792,1315.276,1307.936,1314.821,66596,150,0
2018-05-06,1314.96,1315.334,1314.234,1314.686,1365,180,0
2018-05-07,1314.686,1318.832,1310.197,1315.78,66844,150,0
2018-05-08,1315.782,1317.713,1306.04,1316.337,78235,150,0
2018-05-09,1316.388,1317.308,1304.095,1312.42,78426,150,0
2018-05-10,1312.42,1322.778,1310.753,1321.131,75844,150,0
