Schedule,MinPct,SL,Step,Buffer,FinalBal,NetProfit,MaxDD_D,MaxDD_Pct,Calmar,CAGR,Trades,SuperDumps,LossStreak,Survived
S2_Balanced_Alpha,0.5,25.0,7.5,1.0,24129.669999999933,22129.669999999933,6005.017999999991,54.29370143298191,3.685196280843782,33.14130305607339,190,37,27,False
S2_Balanced_Alpha,0.5,25.0,7.5,2.0,20706.75199999993,18706.75199999993,5543.181999999993,68.77996927027257,3.374731697425766,30.820586062261878,190,35,27,False
S2_Balanced_Alpha,0.5,25.0,10.0,1.0,13406.961999999941,11406.961999999941,7239.737999999992,70.57483484598063,1.575604255292105,24.44488637064053,190,29,27,False
S2_Balanced_Alpha,0.5,25.0,10.0,2.0,10315.450999999943,8315.450999999943,6812.8339999999935,100.7258708128553,1.2205568196729806,20.751281911058527,190,27,19,False
S2_Balanced_Alpha,0.8,15.0,5.0,1.0,14545.475999999968,12545.475999999968,3584.8000000000025,90.4406357183492,3.499630662798471,25.616225750989873,159,32,23,False
S2_Balanced_Alpha,0.8,15.0,5.0,2.0,7687.168000000003,5687.168000000003,3009.496000000001,83.41371678656488,1.8897410064675286,16.73768530620674,159,28,22,False
S2_Balanced_Alpha,0.8,15.0,7.5,1.0,25202.70799999994,23202.70799999994,3379.153999999997,53.59266592209001,6.866425146649121,33.808818812677856,159,28,25,False
S2_Balanced_Alpha,0.8,15.0,7.5,2.0,22233.35199999994,20233.35199999994,3014.818000000001,46.32878945776021,6.71130131238434,31.894597089100785,159,26,25,False
S2_Balanced_Alpha,0.8,15.0,10.0,1.0,15329.625999999942,13329.625999999942,4290.3379999999925,62.41130029162461,3.106894142139842,26.37665219180927,159,21,25,False
S2_Balanced_Alpha,0.8,15.0,10.0,2.0,12026.114999999947,10026.114999999947,3861.433999999994,68.21114000666309,2.5964745221593746,22.899804045940076,159,19,17,False
S2_Balanced_Alpha,0.8,20.0,5.0,1.0,14619.25799999997,12619.25799999997,4437.832000000002,100.68775653604645,2.8435637040789206,25.689301976404355,159,35,23,False
S2_Balanced_Alpha,0.8,20.0,5.0,2.0,7860.950000000008,5860.950000000008,3868.8320000000017,96.23881196995116,1.5149145788703169,17.03803345421724,159,31,22,False
S2_Balanced_Alpha,0.8,20.0,7.5,1.0,24891.587999999945,22891.587999999945,4265.401999999989,47.63994652587379,5.366806692546214,33.617907915400465,159,32,25,False
S2_Balanced_Alpha,0.8,20.0,7.5,2.0,22044.231999999953,20044.231999999953,3827.5659999999916,50.85006153050253,5.23680897991047,31.765153444046177,159,30,25,False
S2_Balanced_Alpha,0.8,20.0,10.0,1.0,14617.025999999947,12617.025999999947,5370.1219999999885,59.49983267427462,2.3494859148451326,25.68709611985762,159,23,25,False
S2_Balanced_Alpha,0.8,20.0,10.0,2.0,11409.514999999952,9409.514999999952,4967.217999999992,82.81200349572343,1.894322938916707,22.15853470679887,159,21,17,False
S2_Balanced_Alpha,0.8,25.0,5.0,1.0,14345.80999999997,12345.80999999997,5126.904000000002,106.29798867667802,2.4080439189030973,25.416811727802234,159,36,23,False
S2_Balanced_Alpha,0.8,25.0,5.0,2.0,7653.502000000006,5653.502000000006,4537.904000000002,101.25504919274246,1.2458399296238976,16.678806341656415,159,32,22,False
S2_Balanced_Alpha,0.8,25.0,7.5,1.0,24340.49599999994,22340.49599999994,5134.12199999999,45.15506226439599,4.35137614571683,33.2744996421652,159,33,25,False
S2_Balanced_Alpha,0.8,25.0,7.5,2.0,21539.13999999995,19539.13999999995,4688.285999999993,58.877436034032684,4.167651034941123,31.414561438757758,159,31,25,False
S2_Balanced_Alpha,0.8,25.0,10.0,1.0,13843.433999999947,11843.433999999947,6308.8419999999915,62.51497637322599,1.8772754175805897,24.903987521876036,159,24,25,False
S2_Balanced_Alpha,0.8,25.0,10.0,2.0,10681.922999999952,8681.922999999952,5897.937999999993,93.30240516449577,1.4720268337849536,21.236787279985304,159,22,17,False
S2_Balanced_Alpha,1.0,15.0,5.0,1.0,14912.112999999963,12912.112999999963,3232.7200000000025,82.33581966766351,3.994194671979,25.97617352066561,145,31,22,False
S2_Balanced_Alpha,1.0,15.0,5.0,2.0,8005.403,6005.403,2677.416000000001,75.41868188514577,2.2429846538602884,17.28325226599603,145,27,21,False
S2_Balanced_Alpha,1.0,15.0,7.5,1.0,20639.523999999958,18639.523999999958,3177.073999999997,51.38040341013367,5.866883805665205,30.771696084043356,145,25,24,False
S2_Balanced_Alpha,1.0,15.0,7.5,2.0,17780.66799999996,15780.667999999961,2812.738000000001,44.71258251716856,5.610429410773401,28.549692868214205,145,24,24,False
S2_Balanced_Alpha,1.0,15.0,10.0,1.0,15674.549999999941,13674.549999999941,3888.2579999999925,66.01455369876032,3.516883396112081,26.70028625150218,145,20,24,False
S2_Balanced_Alpha,1.0,15.0,10.0,2.0,12349.038999999942,10349.038999999942,3435.353999999994,63.18891552006697,3.012510210010369,23.27469230115149,145,18,16,False
S2_Balanced_Alpha,1.0,20.0,5.0,1.0,15065.894999999966,13065.894999999966,4005.752000000002,91.66321134918465,3.2617833056065275,26.1248224555414,145,34,22,False
S2_Balanced_Alpha,1.0,20.0,5.0,2.0,8259.185000000005,6259.185000000005,3456.7520000000018,87.24351292770535,1.8107127731465844,17.704734175961036,145,30,21,False
S2_Balanced_Alpha,1.0,20.0,7.5,1.0,20408.403999999966,18408.403999999966,3936.8579999999965,45.51160346352125,4.675912618641562,30.60253738464873,145,29,24,False
S2_Balanced_Alpha,1.0,20.0,7.5,2.0,17671.54799999997,15671.54799999997,3572.521999999999,46.96075419624125,4.386690410863802,28.45876636504563,145,28,24,False
S2_Balanced_Alpha,1.0,20.0,10.0,1.0,15039.381999999947,13039.381999999947,4888.041999999989,63.180272391520354,2.667608420713238,26.099290521967976,145,22,24,False
S2_Balanced_Alpha,1.0,20.0,10.0,2.0,11809.870999999948,9809.870999999948,4461.137999999992,74.37136385960261,2.1989615654122256,22.643749796983627,145,20,16,False
S2_Balanced_Alpha,1.0,25.0,5.0,1.0,14872.446999999966,12872.446999999966,4614.824000000002,96.42944605804782,2.7893689986876984,25.937611467173728,145,35,22,False
S2_Balanced_Alpha,1.0,25.0,5.0,2.0,8131.737000000005,6131.737000000005,4045.8240000000014,91.45560435208343,1.515571858785751,17.49452340171036,145,31,21,False
S2_Balanced_Alpha,1.0,25.0,7.5,1.0,19937.31199999996,17937.31199999996,4712.54199999999,41.07047037274569,3.8062922303928532,30.25242487422681,145,30,24,False
S2_Balanced_Alpha,1.0,25.0,7.5,2.0,17246.45599999997,15246.45599999997,4178.205999999993,51.94776485806257,3.649043632602125,28.099743699800527,145,29,24,False
S2_Balanced_Alpha,1.0,25.0,10.0,1.0,14345.789999999946,12345.789999999946,5746.7619999999915,57.0303540025995,2.1483036882334723,25.41679163031816,145,23,24,False
S2_Balanced_Alpha,1.0,25.0,10.0,2.0,11162.278999999948,9162.278999999948,5311.857999999993,84.0272463098682,1.7248727281489753,21.851313725031176,145,21,16,False
S2_Balanced_Alpha,1.5,15.0,5.0,1.0,12922.834999999952,10922.834999999952,2295.5840000000026,67.2822427101602,4.7581944289557425,23.919920704328312,101,23,17,False
S2_Balanced_Alpha,1.5,15.0,5.0,2.0,6600.927999999987,4600.927999999987,1773.5840000000026,49.245424723420975,2.5941415799871788,14.711331769664726,101,22,17,False
S2_Balanced_Alpha,1.5,15.0,7.5,1.0,19790.998999999945,17790.998999999945,2277.5819999999985,40.264990595941136,7.811353883197161,30.142195458415767,101,20,19,False
S2_Balanced_Alpha,1.5,15.0,7.5,2.0,16708.142999999953,14708.142999999953,1979.246000000001,35.32095461061934,7.431184905767118,27.633685213303693,101,19,19,False
S2_Balanced_Alpha,1.5,15.0,10.0,1.0,16925.29099999995,14925.29099999995,2295.2659999999923,51.73234397056278,6.502641088222455,27.823263696981737,101,16,19,False
S2_Balanced_Alpha,1.5,15.0,10.0,2.0,13704.714999999953,11704.714999999953,1925.898000000002,49.532004779813676,6.077536297353204,24.759482513948594,101,14,12,False
S2_Balanced_Alpha,1.5,20.0,5.0,1.0,13396.440999999955,11396.440999999955,2788.5840000000026,71.5851559166807,4.08682004917189,24.43365751984925,101,26,17,False
S2_Balanced_Alpha,1.5,20.0,5.0,2.0,7174.53399999999,5174.53399999999,2286.5840000000026,55.50778961851892,2.262997554430532,15.815301686572436,101,25,17,False
S2_Balanced_Alpha,1.5,20.0,7.5,1.0,19999.45499999995,17999.45499999995,2797.5819999999985,34.490207941497545,6.43393294638011,30.29902573079064,101,24,19,False
S2_Balanced_Alpha,1.5,20.0,7.5,2.0,17038.598999999955,15038.598999999955,2499.246000000001,33.875394733524885,6.017254403928204,27.921332743286808,101,23,19,False
S2_Balanced_Alpha,1.5,20.0,10.0,1.0,16729.698999999953,14729.698999999953,2935.2659999999905,48.85497733650626,5.018181997815531,27.65260160188938,101,18,19,False
S2_Balanced_Alpha,1.5,20.0,10.0,2.0,13605.122999999956,11605.122999999956,2578.3619999999946,45.04669796790205,4.500967280777478,24.65493600546864,101,16,12,False
S2_Balanced_Alpha,1.5,25.0,5.0,1.0,13382.288999999953,11382.288999999953,3117.6560000000027,74.0465865697256,3.6509124162511655,24.418541059376953,101,27,17,False
S2_Balanced_Alpha,1.5,25.0,5.0,2.0,7226.38199999999,5226.38199999999,2595.6560000000027,57.934702329948706,2.0135110353606116,15.911197620073514,101,26,17,False
S2_Balanced_Alpha,1.5,25.0,7.5,1.0,19827.65899999995,17827.65899999995,3106.3019999999997,27.426588914342904,5.739190523007728,30.169881947580656,101,25,19,False
S2_Balanced_Alpha,1.5,25.0,7.5,2.0,16912.802999999956,14912.802999999956,2799.966000000002,36.11607641532239,5.326065745084028,27.8124197036983,101,24,19,False
S2_Balanced_Alpha,1.5,25.0,10.0,1.0,16335.402999999955,14335.402999999955,3433.9859999999917,42.59247348591267,4.174566524150066,27.30312481198427,101,19,19,False
S2_Balanced_Alpha,1.5,25.0,10.0,2.0,13256.826999999954,11256.826999999954,3069.081999999996,48.87569788140887,3.6678156530193617,24.28390655595498,101,17,12,False
S3_Heavy_Snowball,0.5,15.0,5.0,1.0,15981.384999999947,13981.384999999947,4925.980000000003,120.04074481125073,2.83829512097084,26.982927570774407,190,35,27,False
S3_Heavy_Snowball,0.5,15.0,5.0,2.0,7676.734999999993,5676.734999999993,4175.620000000001,122.10539859665428,1.3594951168928189,16.719463323047012,190,31,25,False
S3_Heavy_Snowball,0.5,15.0,7.5,1.0,29561.529999999926,27561.529999999926,4770.699999999988,80.32822849428372,5.777250717923994,36.28495683049331,190,32,27,False
S3_Heavy_Snowball,0.5,15.0,7.5,2.0,25296.46999999992,23296.46999999992,4194.654999999992,70.20795698021286,5.5538465022749115,33.86594447136155,190,30,27,False
S3_Heavy_Snowball,0.5,15.0,10.0,1.0,17587.569999999923,15587.569999999923,5999.56499999999,94.55771607463981,2.5981166967938427,28.38845095628768,190,26,27,False
S3_Heavy_Snowball,0.5,15.0,10.0,2.0,13710.24499999993,11710.24499999993,5505.934999999992,90.57100232278546,2.1268404004042814,24.76526789405358,190,24,19,False
S3_Heavy_Snowball,0.5,20.0,5.0,1.0,15849.484999999953,13849.484999999953,6146.020000000002,134.28845485750745,2.253407082957743,26.862021526243996,190,38,27,False
S3_Heavy_Snowball,0.5,20.0,5.0,2.0,7664.8349999999955,5664.8349999999955,5401.020000000002,140.17027472078274,1.0488454032756762,16.698652342296903,190,34,25,False
S3_Heavy_Snowball,0.5,20.0,7.5,1.0,28924.40999999993,26924.40999999993,6236.5499999999865,74.18596943163689,4.317196206235818,35.94407652886049,190,36,27,False
S3_Heavy_Snowball,0.5,20.0,7.5,2.0,24804.349999999926,22804.349999999926,5705.50499999999,65.63762952361994,3.9969029910586293,33.56399745528389,190,34,27,False
S3_Heavy_Snowball,0.5,20.0,10.0,1.0,16491.409999999927,14491.409999999927,7527.914999999986,91.26469051560811,1.9250230641552082,27.442282017970943,190,28,27,False
S3_Heavy_Snowball,0.5,20.0,10.0,2.0,12729.084999999934,10729.084999999934,7079.284999999991,98.21161885881283,1.5155605403652979,23.704937282615933,190,26,19,False
S3_Heavy_Snowball,0.5,25.0,5.0,1.0,15736.604999999949,13736.604999999949,6919.860000000002,132.11663920545132,1.9850986869676472,26.75784089927944,190,39,27,False
S3_Heavy_Snowball,0.5,25.0,5.0,2.0,7656.954999999993,5656.954999999993,6124.860000000002,134.04827380177247,0.9236056007810776,16.684855882462667,190,35,25,False
S3_Heavy_Snowball,0.5,25.0,7.5,1.0,28327.599999999926,26327.599999999926,7374.94999999999,62.99071537354608,3.5698682702933526,35.618680810672856,190,37,27,False
S3_Heavy_Snowball,0.5,25.0,7.5,2.0,24272.53999999992,22272.53999999992,6823.904999999993,72.75712174619524,3.2638994827741508,33.231677994872236,190,35,27,False
S3_Heavy_Snowball,0.5,25.0,10.0,1.0,15582.099999999919,13582.099999999919,8791.31499999999,83.7386142602654,1.5449452101306727,26.614165769737674,190,29,27,False
S3_Heavy_Snowball,0.5,25.0,10.0,2.0,11884.774999999929,9884.774999999929,8322.684999999992,107.28863255636487,1.1876906310883972,22.732909827950753,190,27,19,False
