target,lot,step,max_l,mode,use_trix,net_profit,final_balance,max_dd_pct,harvest_count,total_trades,roi_pct
50.0,0.08,500.0,3,basket,True,2528.7886718753944,12528.788671875394,21.338760478493406,232,870,25.287886718753942
50.0,0.08,500.0,4,basket,True,2528.7886718753944,12528.788671875394,21.338760478493406,232,870,25.287886718753942
50.0,0.08,500.0,2,basket,True,2528.7886718753944,12528.788671875394,21.338760478493406,232,870,25.287886718753942
75.0,0.05,400.0,2,basket,False,2526.4963378906396,12526.49633789064,22.189937046517365,170,1203,25.264963378906398
75.0,0.08,400.0,3,per_order,False,2512.8207031256607,12512.82070312566,33.31735617555761,248,1171,25.128207031256604
75.0,0.08,400.0,4,per_order,False,2512.8207031256607,12512.82070312566,33.31735617555761,248,1171,25.128207031256604
50.0,0.1,400.0,4,per_order,True,2504.0019531254893,12504.00195312549,25.10731959164336,264,896,25.04001953125489
50.0,0.1,400.0,2,per_order,True,2504.0019531254893,12504.00195312549,25.10731959164336,264,896,25.04001953125489
50.0,0.1,400.0,3,per_order,True,2504.0019531254893,12504.00195312549,25.10731959164336,264,896,25.04001953125489
100.0,0.08,300.0,3,basket,True,2493.6132812505457,12493.613281250546,24.76946951769938,159,987,24.936132812505456
100.0,0.08,300.0,4,basket,True,2493.6132812505457,12493.613281250546,24.76946951769938,159,987,24.936132812505456
75.0,0.05,500.0,3,basket,False,2483.4904785156577,12483.490478515658,24.687659212955523,169,1164,24.834904785156578
75.0,0.05,500.0,2,basket,False,2483.4904785156577,12483.490478515658,24.687659212955523,169,1164,24.834904785156578
75.0,0.05,500.0,4,basket,False,2483.4904785156577,12483.490478515658,24.687659212955523,169,1164,24.834904785156578
75.0,0.05,400.0,2,per_order,False,2445.5034179688046,12445.503417968805,26.860567507069007,196,1220,24.455034179688045
75.0,0.08,400.0,4,basket,False,2438.405859375591,12438.40585937559,33.97583637990193,225,1168,24.38405859375591
75.0,0.08,400.0,3,basket,False,2438.405859375591,12438.40585937559,33.97583637990193,225,1168,24.38405859375591
75.0,0.08,400.0,2,basket,False,2438.405859375591,12438.40585937559,33.97583637990193,225,1168,24.38405859375591
75.0,0.08,400.0,2,per_order,False,2395.221484375659,12395.22148437566,34.49100089024626,247,1169,23.952214843756593
75.0,0.08,500.0,4,per_order,False,2352.8125000006257,12352.812500000626,36.37529450858901,237,1121,23.52812500000626
75.0,0.08,500.0,3,per_order,False,2352.8125000006257,12352.812500000626,36.37529450858901,237,1121,23.52812500000626
75.0,0.08,500.0,2,per_order,False,2352.8125000006257,12352.812500000626,36.37529450858901,237,1121,23.52812500000626
100.0,0.08,300.0,2,basket,True,2348.014453125543,12348.014453125543,24.801312599462396,159,979,23.48014453125543
50.0,0.05,300.0,2,per_order,False,2315.0095214843823,12315.009521484382,19.913085560043122,253,1229,23.150095214843823
75.0,0.05,500.0,2,per_order,False,2258.0002441406978,12258.000244140698,27.423267786477396,190,1176,22.580002441406975
100.0,0.05,500.0,4,per_order,False,2256.4909667969514,12256.490966796951,26.355027222218624,168,1290,22.564909667969513
50.0,0.08,400.0,3,per_order,True,2209.5937500004293,12209.59375000043,20.386223663586623,248,907,22.095937500004293
50.0,0.08,400.0,4,per_order,True,2209.5937500004293,12209.59375000043,20.386223663586623,248,907,22.095937500004293
50.0,0.08,400.0,2,per_order,True,2209.5937500004293,12209.59375000043,20.386223663586623,248,907,22.095937500004293
75.0,0.05,400.0,3,per_order,False,2202.0036621094405,12202.00366210944,27.714296627692764,200,1261,22.020036621094405
75.0,0.05,400.0,4,per_order,False,2155.0036621094514,12155.003662109451,28.173594987131136,200,1264,21.550036621094513
75.0,0.05,500.0,3,per_order,False,2141.499755859437,12141.499755859437,26.899688626484497,192,1200,21.41499755859437
75.0,0.05,500.0,4,per_order,False,2141.499755859437,12141.499755859437,26.899688626484497,192,1200,21.41499755859437
100.0,0.05,500.0,3,per_order,False,2128.4916992188373,12128.491699218837,27.592751727031917,167,1289,21.284916992188375
100.0,0.1,300.0,2,per_order,True,2124.0083007819703,12124.00830078197,28.930556332607015,203,977,21.240083007819706
100.0,0.08,400.0,3,per_order,True,2109.6164062505995,12109.6164062506,26.782539159300335,182,973,21.096164062505995
100.0,0.08,400.0,4,per_order,True,2109.6164062505995,12109.6164062506,26.782539159300335,182,973,21.096164062505995
100.0,0.08,400.0,2,per_order,True,2084.8152343755864,12084.815234375586,25.43877789372778,182,964,20.848152343755867
50.0,0.05,300.0,4,per_order,False,2059.509765625018,12059.509765625018,20.99028106671135,253,1242,20.595097656250182
50.0,0.05,300.0,3,per_order,False,2059.509765625018,12059.509765625018,20.99028106671135,253,1242,20.595097656250182
100.0,0.05,300.0,4,basket,True,2019.48291015625,12019.48291015625,13.741600970566983,117,1032,20.1948291015625
100.0,0.05,300.0,3,basket,True,2019.48291015625,12019.48291015625,13.741600970566983,117,1032,20.1948291015625
50.0,0.05,300.0,4,basket,False,2000.5073242187682,12000.507324218768,21.2756131279873,225,1219,20.00507324218768
50.0,0.05,300.0,3,basket,False,2000.5073242187682,12000.507324218768,21.2756131279873,225,1219,20.00507324218768
100.0,0.08,400.0,4,basket,True,1997.6179687505137,11997.617968750514,24.25858852115942,157,942,19.976179687505137
100.0,0.08,400.0,2,basket,True,1997.6179687505137,11997.617968750514,24.25858852115942,157,942,19.976179687505137
100.0,0.08,400.0,3,basket,True,1997.6179687505137,11997.617968750514,24.25858852115942,157,942,19.976179687505137
100.0,0.05,300.0,2,per_order,True,1989.490234375,11989.490234375,17.26307425115169,141,1038,19.89490234375
50.0,0.05,300.0,2,basket,False,1988.0075683593932,11988.007568359393,21.315445830636172,225,1217,19.88007568359393
75.0,0.08,300.0,2,per_order,True,1945.6089843755617,11945.608984375562,20.73600556000831,209,971,19.456089843755617
75.0,0.1,500.0,4,per_order,True,1914.014160156812,11914.014160156812,32.19667672700811,217,879,19.14014160156812
75.0,0.1,500.0,2,per_order,True,1914.014160156812,11914.014160156812,32.19667672700811,217,879,19.14014160156812
75.0,0.1,500.0,3,per_order,True,1914.014160156812,11914.014160156812,32.19667672700811,217,879,19.14014160156812
50.0,0.05,500.0,3,basket,False,1876.4997558594187,11876.499755859419,23.854445977284982,214,1127,18.76499755859419
50.0,0.05,500.0,4,basket,False,1876.4997558594187,11876.499755859419,23.854445977284982,214,1127,18.76499755859419
50.0,0.05,500.0,2,basket,False,1876.4997558594187,11876.499755859419,23.854445977284982,214,1127,18.76499755859419
100.0,0.05,300.0,2,basket,True,1874.981201171875,11874.981201171875,16.2845177837167,117,1002,18.74981201171875
50.0,0.08,400.0,2,basket,True,1859.9921875004075,11859.992187500407,21.00821849776073,233,908,18.599921875004075
50.0,0.08,400.0,3,basket,True,1859.9921875004075,11859.992187500407,21.00821849776073,233,908,18.599921875004075
50.0,0.08,400.0,4,basket,True,1859.9921875004075,11859.992187500407,21.00821849776073,233,908,18.599921875004075
50.0,0.05,400.0,2,basket,False,1853.5021972656396,11853.50219726564,21.837408077987842,218,1172,18.535021972656395
50.0,0.05,400.0,3,basket,False,1853.5021972656396,11853.50219726564,21.837408077987842,218,1172,18.535021972656395
50.0,0.05,400.0,4,basket,False,1853.5021972656396,11853.50219726564,21.837408077987842,218,1172,18.535021972656395
100.0,0.05,500.0,2,basket,False,1840.4809570313519,11840.480957031352,28.30778760474237,138,1187,18.404809570313517
100.0,0.05,500.0,4,basket,False,1824.9799804688628,11824.979980468863,28.14035360386408,138,1196,18.249799804688628
100.0,0.05,500.0,3,basket,False,1824.9799804688628,11824.979980468863,28.14035360386408,138,1196,18.249799804688628
100.0,0.1,300.0,4,per_order,True,1772.0107421882312,11772.010742188231,30.969065216127785,203,987,17.72010742188231
100.0,0.1,300.0,3,per_order,True,1772.0107421882312,11772.010742188231,30.969065216127785,203,987,17.72010742188231
75.0,0.1,300.0,3,basket,True,1741.0043945318193,11741.00439453182,29.324644877785083,219,958,17.410043945318193
75.0,0.1,300.0,4,basket,True,1741.0043945318193,11741.00439453182,29.324644877785083,219,958,17.410043945318193
75.0,0.1,300.0,2,basket,True,1741.0043945318193,11741.00439453182,29.324644877785083,219,958,17.410043945318193
50.0,0.1,400.0,3,basket,False,1738.0039062506148,11738.003906250615,38.20972072992493,310,1133,17.380039062506146
50.0,0.1,400.0,2,basket,False,1738.0039062506148,11738.003906250615,38.20972072992493,310,1133,17.380039062506146
50.0,0.1,400.0,4,basket,False,1738.0039062506148,11738.003906250615,38.20972072992493,310,1133,17.380039062506146
75.0,0.08,300.0,3,per_order,True,1736.8097656255704,11736.80976562557,23.661536051987103,209,980,17.368097656255703
75.0,0.08,300.0,4,per_order,True,1736.8097656255704,11736.80976562557,23.661536051987103,209,980,17.368097656255703
50.0,0.05,400.0,3,per_order,False,1731.511474609404,11731.511474609404,22.662388411645708,241,1181,17.31511474609404
50.0,0.05,400.0,4,per_order,False,1731.511474609404,11731.511474609404,22.662388411645708,241,1181,17.31511474609404
50.0,0.1,400.0,3,per_order,False,1683.0078125006276,11683.007812500628,36.53261919919432,322,1127,16.830078125006274
50.0,0.1,400.0,4,per_order,False,1683.0078125006276,11683.007812500628,36.53261919919432,322,1127,16.830078125006274
50.0,0.1,400.0,2,per_order,False,1683.0078125006276,11683.007812500628,36.53261919919432,322,1127,16.830078125006274
75.0,0.1,400.0,2,per_order,True,1677.020996094343,11677.020996094343,27.46367199164792,224,916,16.77020996094343
75.0,0.1,400.0,3,per_order,True,1677.020996094343,11677.020996094343,27.46367199164792,224,916,16.77020996094343
75.0,0.1,400.0,4,per_order,True,1677.020996094343,11677.020996094343,27.46367199164792,224,916,16.77020996094343
