mode,buffer,sl,step,lock,trades,wr,net,pf,max_dd,min_bal
LIMIT,5.0,30.0,8.0,300.0,57,17.543859649122805,2549.4300000000403,1.5263448019572101,3497.2449999999885,1654.3000000000134
LIMIT,5.0,30.0,8.0,500.0,57,10.526315789473683,3733.9750000000085,1.727483938843403,4366.099999999992,631.9900000000089
LIMIT,5.0,30.0,8.0,800.0,57,8.771929824561402,3374.9150000000045,1.628742157990583,4696.099999999992,301.9900000000089
LIMIT,5.0,30.0,8.0,1000.0,57,8.771929824561402,3374.9150000000045,1.628742157990583,4696.099999999992,301.9900000000089
LIMIT,5.0,30.0,10.0,300.0,57,14.035087719298245,3203.1899999999423,1.531680237291586,4844.559999999996,153.5300000000052
LIMIT,5.0,30.0,10.0,500.0,57,12.280701754385964,3602.69999999992,1.611191694022427,4875.465000000044,122.62499999995725
LIMIT,5.0,30.0,10.0,800.0,57,10.526315789473683,3518.3899999999176,1.5988952815414816,4959.775000000046,38.314999999955035
LIMIT,5.0,30.0,10.0,1000.0,57,10.526315789473683,3518.3899999999176,1.5988952815414816,4959.775000000046,38.314999999955035
LIMIT,5.0,30.0,12.0,300.0,57,15.789473684210526,190.33499999992432,1.0318784120000108,5505.414999999983,-507.3249999999816
LIMIT,5.0,30.0,12.0,500.0,57,12.280701754385964,-461.24000000015553,0.9289913864106729,5655.855000000054,-657.7650000000531
LIMIT,5.0,30.0,12.0,800.0,57,8.771929824561402,-1525.460000000142,0.788155564968006,6720.07500000004,-1721.9850000000388
LIMIT,5.0,30.0,12.0,1000.0,57,8.771929824561402,-1525.460000000142,0.788155564968006,6720.07500000004,-1721.9850000000388
LIMIT,5.0,30.0,15.0,300.0,57,17.543859649122805,-596.1750000000335,0.8952420279477533,5032.550000000008,-34.46000000000731
LIMIT,5.0,30.0,15.0,500.0,57,15.789473684210526,-1769.3950000000596,0.7406913743806269,6390.0250000000415,-1391.9350000000404
LIMIT,5.0,30.0,15.0,800.0,57,10.526315789473683,-3181.6700000000433,0.5753631708793258,7312.7350000000415,-2314.6450000000405
LIMIT,5.0,30.0,15.0,1000.0,57,10.526315789473683,-3407.6700000000787,0.5585067584287563,7312.7350000000415,-2314.6450000000405
LIMIT,8.0,15.0,8.0,300.0,55,14.545454545454545,600.5199999999459,1.1382745158538243,2799.974999999995,2235.8450000000075
LIMIT,8.0,15.0,8.0,500.0,55,10.909090909090908,256.2399999999561,1.057250420318259,3144.2549999999846,1891.5650000000178
LIMIT,8.0,15.0,8.0,800.0,55,10.909090909090908,172.18999999995867,1.038471549619889,3228.304999999982,1807.5150000000203
LIMIT,8.0,15.0,8.0,1000.0,55,10.909090909090908,172.18999999995867,1.038471549619889,3228.304999999982,1807.5150000000203
LIMIT,8.0,15.0,10.0,300.0,55,16.363636363636363,-1515.9600000000355,0.664773412026674,3205.4749999999995,1822.6150000000016
LIMIT,8.0,15.0,10.0,500.0,55,12.727272727272727,-598.0750000000753,0.8728856337333517,3508.239999999999,1519.8500000000022
LIMIT,8.0,15.0,10.0,800.0,55,12.727272727272727,-767.6800000001222,0.8368379271904296,3677.8450000000457,1350.2449999999553
LIMIT,8.0,15.0,10.0,1000.0,55,12.727272727272727,-767.6800000001222,0.8368379271904296,3677.8450000000457,1350.2449999999553
LIMIT,8.0,15.0,12.0,300.0,55,14.545454545454545,-1932.2850000000526,0.5771944028095247,3281.800000000017,1746.289999999984
LIMIT,8.0,15.0,12.0,500.0,55,12.727272727272727,-1062.6300000001002,0.7683877619077503,3292.795000000024,1735.2949999999769
LIMIT,8.0,15.0,12.0,800.0,55,12.727272727272727,-867.7150000001175,0.8108716927093864,3097.8800000000415,1930.2099999999596
LIMIT,8.0,15.0,12.0,1000.0,55,9.090909090909092,-2416.82500000008,0.5368265819849335,4646.990000000003,381.09999999999764
LIMIT,8.0,15.0,15.0,300.0,55,20.0,-1557.0750000000735,0.6216237561206586,3355.6149999999893,1672.4750000000117
LIMIT,8.0,15.0,15.0,500.0,55,18.181818181818183,-2211.7050000001436,0.5248799957894873,4010.2450000000595,1017.8449999999416
LIMIT,8.0,15.0,15.0,800.0,55,16.363636363636363,-2515.7150000001175,0.4881603322044664,4314.255000000033,713.8349999999682
LIMIT,8.0,15.0,15.0,1000.0,55,14.545454545454545,-3232.295000000121,0.3889853488958793,5030.835000000036,-2.745000000035361
LIMIT,8.0,20.0,8.0,300.0,55,14.545454545454545,377.55999999994765,1.0826909830778602,3022.934999999993,2012.8850000000093
LIMIT,8.0,20.0,8.0,500.0,55,10.909090909090908,33.27999999995791,1.0070827573804348,3367.214999999983,1668.6050000000196
LIMIT,8.0,20.0,8.0,800.0,55,10.909090909090908,-50.770000000039545,0.98919496417652,3451.2649999999803,1584.5550000000221
LIMIT,8.0,20.0,8.0,1000.0,55,10.909090909090908,-50.770000000039545,0.98919496417652,3451.2649999999803,1584.5550000000221
LIMIT,8.0,20.0,10.0,300.0,55,16.363636363636363,-1690.120000000035,0.6401209022742032,3379.634999999999,1648.4550000000022
LIMIT,8.0,20.0,10.0,500.0,55,12.727272727272727,-772.2350000000747,0.841728365963493,3682.3999999999983,1345.6900000000028
LIMIT,8.0,20.0,10.0,800.0,55,12.727272727272727,-941.8400000001211,0.8069673664092555,3852.005000000045,1176.084999999956
LIMIT,8.0,20.0,10.0,1000.0,55,12.727272727272727,-941.8400000001211,0.8069673664092555,3852.005000000045,1176.084999999956
